repo_full_name,contributor_login,contributions,type
psf/requests,rmax,4,User
psf/requests,smiley,4,User
psf/requests,skastel,4,User
psf/requests,Sylvain MARIE,4,Anonymous
psf/requests,Thomas Grainger,4,Anonymous
fastapi/fastapi,tiangolo,1953,User
fastapi/fastapi,github-actions[bot],390,Bot
fastapi/fastapi,dependabot[bot],139,Bot
fastapi/fastapi,Nils Lindemann,131,Anonymous
fastapi/fastapi,alejsdev,56,User
fastapi/fastapi,YuriiMotov,56,User
fastapi/fastapi,pre-commit-ci[bot],50,Bot
fastapi/fastapi,jaystone776,49,User
fastapi/fastapi,valentinDruzhinin,32,User
fastapi/fastapi,ceb10n,31,User
fastapi/fastapi,waynerv,25,User
fastapi/fastapi,Kludex,25,User
fastapi/fastapi,tokusumi,24,User
fastapi/fastapi,hasansezertasan,23,User
fastapi/fastapi,SwftAlpc,23,User
fastapi/fastapi,svlandeg,17,User
fastapi/fastapi,dmontagu,17,User
fastapi/fastapi,AlertRED,16,User
fastapi/fastapi,hard-coders,16,User
fastapi/fastapi,Zhongheng-Cheng,14,User
fastapi/fastapi,Joao-Pedro-P-Holanda,14,User
fastapi/fastapi,codingjenny,14,User
fastapi/fastapi,nilslindemann,14,User
fastapi/fastapi,Xewus,13,User
fastapi/fastapi,euri10,13,User
fastapi/fastapi,kantandane,13,User
fastapi/fastapi,mariacamilagl,11,User
fastapi/fastapi,zhaohan-dong,11,User
fastapi/fastapi,alv2017,11,User
fastapi/fastapi,marcelomarkus,11,User
fastapi/fastapi,KaniKim,10,User
fastapi/fastapi,Smlep,10,User
fastapi/fastapi,handabaldeep,9,User
fastapi/fastapi,barsi,9,User
fastapi/fastapi,xzmeng,9,User
fastapi/fastapi,Vincy1230,9,User
fastapi/fastapi,pablocm83,8,User
fastapi/fastapi,Serrones,8,User
fastapi/fastapi,vishnuvskvkl,8,User
fastapi/fastapi,estebanx64,7,User
fastapi/fastapi,RunningIkkyu,7,User
fastapi/fastapi,ptt3199,7,User
fastapi/fastapi,rjNemo,7,User
fastapi/fastapi,Alexandrhub,7,User
fastapi/fastapi,NinaHwang,7,User
fastapi/fastapi,lucasbalieiro,6,User
fastapi/fastapi,batlopes,6,User
fastapi/fastapi,alissadb,6,User
fastapi/fastapi,samuelcolvin,5,User
fastapi/fastapi,Attsun1031,5,User
fastapi/fastapi,tamtam-fitness,5,User
fastapi/fastapi,wshayes,5,User
fastapi/fastapi,rostik1410,5,User
fastapi/fastapi,NavesSapnis,5,User
fastapi/fastapi,ComicShrimp,5,User
fastapi/fastapi,krishnamadhavan,5,User
fastapi/fastapi,musicinmybrain,5,User
fastapi/fastapi,timothy-jeong,4,User
fastapi/fastapi,hitrust,4,User
fastapi/fastapi,ycd,4,User
fastapi/fastapi,Limsunoh,4,User
fastapi/fastapi,axel584,4,User
fastapi/fastapi,k94-ishi,4,User
fastapi/fastapi,ivan-abc,4,User
fastapi/fastapi,BilalAlpaslan,4,User
fastapi/fastapi,komtaki,4,User
fastapi/fastapi,adriangb,4,User
fastapi/fastapi,AlexWendland,4,User
fastapi/fastapi,iudeen,4,User
fastapi/fastapi,izaguerreiro,4,User
fastapi/fastapi,jekirl,4,User
fastapi/fastapi,jfunez,4,User
fastapi/fastapi,philipokiokio,4,User
fastapi/fastapi,kwang1215,4,User
fastapi/fastapi,Mohammad222PR,4,User
fastapi/fastapi,Rishat-F,4,User
fastapi/fastapi,stlucasgarcia,4,User
fastapi/fastapi,papb,3,User
fastapi/fastapi,rkbeatss,3,User
fastapi/fastapi,blt232018,3,User
fastapi/fastapi,tamird,3,User
fastapi/fastapi,TeoZosa,3,User
fastapi/fastapi,graingert,3,User
fastapi/fastapi,uriyyo,3,User
fastapi/fastapi,divums,3,User
fastapi/fastapi,Zssaer,3,User
fastapi/fastapi,ilacftemp,3,User
fastapi/fastapi,kim-sangah,3,User
fastapi/fastapi,maoyibo,3,User
fastapi/fastapi,mojtabapaso,3,User
fastapi/fastapi,nahyunkeem,3,User
fastapi/fastapi,9zimin9,3,User
fastapi/fastapi,s111d,3,User
fastapi/fastapi,ChuyuChoyeon,3,User
fastapi/fastapi,riroan,3,User
fastapi/fastapi,ghandic,3,User
fastapi/fastapi,sattosan,3,User
fastapi/fastapi,fabianfalon,3,User
fastapi/fastapi,andrew222651,3,User
fastapi/fastapi,AhsanSheraz,3,User
encode/httpx,lovelydinosaur,712,User
encode/httpx,florimondmanca,151,User
encode/httpx,dependabot[bot],147,Bot
encode/httpx,sethmlarson,29,User
encode/httpx,karpetrosyan,22,User
encode/httpx,Yeray Diaz Diaz,20,Anonymous
encode/httpx,Kludex,18,User
encode/httpx,Can Sarıgöl,16,Anonymous
encode/httpx,adriangb,14,User
encode/httpx,cdeler,12,User
encode/httpx,j178,12,User
encode/httpx,jcugat,10,User
encode/httpx,T-256,9,User
encode/httpx,JayH5,7,User
encode/httpx,jtmiclat,7,User
encode/httpx,StephenBrown2,7,User
encode/httpx,hugovk,6,User
encode/httpx,hukkinj1,6,User
encode/httpx,lundberg,5,User
encode/httpx,mjpieters,5,User
encode/httpx,mgorny,5,User
encode/httpx,Yeray Diaz Diaz,5,Anonymous
encode/httpx,matusf,4,User
encode/httpx,trim21,4,User
encode/httpx,zanieb,4,User
encode/httpx,pquentin,4,User
encode/httpx,oczkers,3,User
encode/httpx,toppk,3,User
encode/httpx,halbow,3,User
encode/httpx,euri10,3,User
encode/httpx,yeraydiazdiaz,3,User
encode/httpx,graingert,3,User
encode/httpx,simonw,3,User
encode/httpx,Colin-b,3,User
encode/httpx,humrochagf,3,User
encode/httpx,johtso,3,User
encode/httpx,michael-k,3,User
encode/httpx,RafaelWO,3,User
encode/httpx,ofek,3,User
encode/httpx,mbeijen,3,User
encode/httpx,Michael Oliver,3,Anonymous
encode/httpx,willfrey,2,User
encode/httpx,lazorchakp,2,User
encode/httpx,paulschreiber,2,User
encode/httpx,musale,2,User
encode/httpx,xzmeng,2,User
encode/httpx,waterfountain1996,2,User
encode/httpx,laggardkernel,2,User
encode/httpx,vytas7,2,User
encode/httpx,taoufik07,2,User
encode/httpx,Stephen Brown II,2,Anonymous
encode/httpx,symonk,2,User
encode/httpx,sidharthv96,2,User
encode/httpx,skshetry,2,User
encode/httpx,xrmx,2,User
encode/httpx,aminalaee,2,User
encode/httpx,andrewmwhite,2,User
encode/httpx,Andrés Álvarez,2,Anonymous
encode/httpx,cansarigol,2,User
encode/httpx,cclauss,2,User
encode/httpx,b0g3r,2,User
encode/httpx,dobrovolsky,2,User
encode/httpx,Singletoned,2,User
encode/httpx,mtelka,2,User
encode/httpx,Mattwmaster58,2,User
encode/httpx,jamesbraza,2,User
encode/httpx,nick2i,2,User
encode/httpx,jkklapp,2,User
encode/httpx,hannseman,2,User
encode/httpx,gdhameeja,2,User
encode/httpx,frankie567,2,User
encode/httpx,Aber,1,Anonymous
encode/httpx,rowillia,1,User
encode/httpx,RyanBalfanz,1,User
encode/httpx,SarunasAzna,1,User
encode/httpx,scr,1,User
encode/httpx,shinyzhu,1,User
encode/httpx,Simon-Le,1,User
encode/httpx,dongskyler,1,User
encode/httpx,srikanthccv,1,User
encode/httpx,trendels,1,User
encode/httpx,Ousret,1,User
encode/httpx,behrtam,1,User
encode/httpx,tsotnikov,1,User
encode/httpx,the-ress,1,User
encode/httpx,timgates42,1,User
encode/httpx,tobb10001,1,User
