repo_full_name,package_name,osv_id,severity_class,severity_raw,published,fix_version,fix_date,time_to_fix_days,is_fixed,aliases,duration_days,severity_missing
tensorflow/tensorflow,tensorflow,GHSA-v82p-hv3v-p6qp,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-08-25T14:42:16Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.701861777118056,1,BIT-tensorflow-2021-37665;CVE-2021-37665;PYSEC-2021-287;PYSEC-2021-578;PYSEC-2021-776,-14.701861777118056,0
tensorflow/tensorflow,tensorflow,GHSA-vcjj-9vg7-vf68,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-08-25T14:39:54Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.700218258599538,1,BIT-tensorflow-2021-37688;CVE-2021-37688;PYSEC-2021-310;PYSEC-2021-601;PYSEC-2021-799,-14.700218258599538,0
tensorflow/tensorflow,tensorflow,GHSA-vf94-36g5-69v8,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:27:49Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.273391817523148,1,BIT-tensorflow-2021-29595;CVE-2021-29595;PYSEC-2021-232;PYSEC-2021-523;PYSEC-2021-721,25.273391817523148,0
tensorflow/tensorflow,tensorflow,GHSA-vfr4-x8j2-3rf9,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:26:48Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.27409783604167,1,BIT-tensorflow-2021-29588;CVE-2021-29588;PYSEC-2021-225;PYSEC-2021-516;PYSEC-2021-714,25.27409783604167,0
tensorflow/tensorflow,tensorflow,GHSA-vgvh-2pf4-jr2x,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-09-16T22:23:45Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.14509279091436,1,BIT-tensorflow-2022-35974;CVE-2022-35974,-123.14509279091436,0
tensorflow/tensorflow,tensorflow,GHSA-vjg4-v33c-ggc4,critical,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,2022-02-09T18:29:45Z,2.5.3,2022-02-02 16:55:58.910924+00:00,-7.065116771712964,1,BIT-tensorflow-2022-21730;CVE-2022-21730;PYSEC-2022-109;PYSEC-2022-54,-7.065116771712964,0
tensorflow/tensorflow,tensorflow,GHSA-vm7x-4qhj-rrcq,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-09-16T22:15:05Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.13907427239585,1,BIT-tensorflow-2022-35991;CVE-2022-35991,-123.13907427239585,0
tensorflow/tensorflow,tensorflow,GHSA-vmjw-c2vp-p33c,medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2021-08-25T14:42:03Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.701711314155093,1,BIT-tensorflow-2021-37669;CVE-2021-37669;PYSEC-2021-291;PYSEC-2021-582;PYSEC-2021-780,-14.701711314155093,0
tensorflow/tensorflow,tensorflow,GHSA-vq2r-5xvm-3hc3,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:26:30Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.274306169375,1,BIT-tensorflow-2021-29581;CVE-2021-29581;PYSEC-2021-218;PYSEC-2021-509;PYSEC-2021-707,25.274306169375,0
tensorflow/tensorflow,tensorflow,GHSA-vq36-27g6-p492,critical,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,2022-02-09T23:31:48Z,2.8.0,2022-02-02 15:34:06.588243+00:00,-7.331729302743056,1,BIT-tensorflow-2022-23592;CVE-2022-23592;PYSEC-2022-101;PYSEC-2022-156,-7.331729302743056,0
tensorflow/tensorflow,tensorflow,GHSA-vqw6-72r7-fgw7,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:23:44Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.276227465671298,1,BIT-tensorflow-2021-29551;CVE-2021-29551;PYSEC-2021-188;PYSEC-2021-479;PYSEC-2021-677,25.276227465671298,0
tensorflow/tensorflow,tensorflow,GHSA-vvg4-vgrv-xfr7,high,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:H,2021-05-21T14:28:39Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.27281311381945,1,BIT-tensorflow-2021-29613;CVE-2021-29613;PYSEC-2021-250;PYSEC-2021-541;PYSEC-2021-739,25.27281311381945,0
tensorflow/tensorflow,tensorflow,GHSA-vwhq-49r4-gj9v,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-11-10T18:58:16Z,2.6.1,2021-11-01 20:30:07.568333+00:00,-8.936208699849537,1,BIT-tensorflow-2021-41214;CVE-2021-41214;PYSEC-2021-406;PYSEC-2021-623;PYSEC-2021-821,-8.936208699849537,0
tensorflow/tensorflow,tensorflow,GHSA-vxv8-r8q2-63xw,critical,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-09-16T22:26:57Z,2.7.2,2022-05-16 18:54:48.982865+00:00,-123.14731501313658,1,BIT-tensorflow-2022-35981;CVE-2022-35981,-123.14731501313658,0
tensorflow/tensorflow,tensorflow,GHSA-w4xf-2pqw-5mq7,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2021-08-25T14:42:13Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.701827054895832,1,BIT-tensorflow-2021-37666;CVE-2021-37666;PYSEC-2021-288;PYSEC-2021-579;PYSEC-2021-777,-14.701827054895832,0
